source_id,target_id,similarity_score
1,18,0.02374798570481052
1,25,0.036737455480199056
1,29,0.0250247933437964
2,12,0.02478962524643387
2,14,0.025998577580770003
2,23,0.020179607059385946
3,24,0.030357898603925005
4,13,0.29027090786043597
6,29,0.04440557107855687
8,14,0.024495884088543616
8,26,0.061711524637438064
9,25,0.021006437968562365
10,15,0.03142500979172692
11,14,0.02275275408620538
11,22,0.020884212973843033
12,2,0.02478962524643387
13,4,0.29027090786043597
14,2,0.025998577580770003
14,8,0.024495884088543616
14,11,0.02275275408620538
14,23,0.02287083481234624
14,30,0.038195312478372954
15,10,0.03142500979172692
15,20,0.04321029543321143
16,17,0.0423660927406478
17,16,0.0423660927406478
18,1,0.02374798570481052
18,20,0.02710160366329996
19,29,0.020235406231657635
20,15,0.04321029543321143
20,18,0.02710160366329996
21,24,0.05718233245464569
22,11,0.020884212973843033
23,2,0.020179607059385946
23,14,0.02287083481234624
24,3,0.030357898603925005
24,21,0.05718233245464569
25,1,0.036737455480199056
25,9,0.021006437968562365
25,27,0.040599943551910087
26,8,0.061711524637438064
27,25,0.040599943551910087
29,1,0.0250247933437964
29,6,0.04440557107855687
29,19,0.020235406231657635
30,14,0.038195312478372954
